	music #	name	performer	price	venue
0	1	2021 万圣节“向经典致敬”专场演出 Day 1 	艺人：Round Eye/明天的盐/Deku/Loose Booty/Trash Panda	价格：¥120起	[上海]育音堂音乐公园
1	1	《十年一念》靳松2021巡演之旅 上海站	艺人：靳松	价格：¥80起	[上海]育音堂（凯旋店）
2	1	风子《索南扎巴》2021巡演 上海站	艺人：风子	价格：¥99起	[上海]育音堂（凯旋店）
3	1	2021姜铭杨“你自是你”巡回演唱会 上海站	艺人：Janmy姜铭杨	价格：¥120起	[上海]育音堂音乐公园
4	1	【秀动呈献】陈硕子“等你”2021巡演 上海站	艺人：陈硕子	价格：¥100起	[上海]上海 MAO Livehouse
5	1	2021-2022徐海俏《空》新专辑巡演-上海站	艺人：徐海俏	价格：¥99起	[上海]上海 MAO Livehouse
6	2	Dahlia Artery紫色动脉 2021「Purple Pieces紫色碎片」巡演	艺人：Dahlia Artery 紫色动脉/恶魔工人Akuei	价格：¥80起	[上海]育音堂（凯旋店）
7	2	与死去爱人共舞 ——— The Molds“ Dancing With The Dead Lover ” 巡演 上海站	艺人：The Molds	价格：¥90起	[上海]上海 MAO Livehouse
8	2	1701｜野外合作社「幸运的宝儿」2021 巡演 上海站	艺人：野外合作社	价格：¥150	[上海]上海 MAO Livehouse
9	2	鹿岛漫车「在有你的城市」巡演 上海站	艺人：鹿岛漫车	价格：¥80起	[上海]育音堂（凯旋店）
10	2	布衣乐队《八宝茶》巡演 上海站	艺人：布衣乐队	价格：¥110起	[上海]上海 MODERNSKY LAB
11	2	Overheat Fes. Halloween Special	艺人：Ouroboros/BLOOM乐队/DJ HOMEDA/凌晨12点/CKS/花生一夏/究極Ultima/STARWINK少女队	价格：¥98起	[上海]LOFAS
12	2	2021未卜乐队 [ 就这 ] 地球巡演-上海站	艺人：未卜乐队	价格：¥80起	[上海]育音堂（凯旋店）
13	2	10.31 歌之初乐队2021“路过你的青春” 上海站	艺人：歌之初乐队	价格：¥80起	[上海]育音堂音乐公园
